s/n,courseCode,registerednumber
1,AAD501,110
2,AAD505,110
3,AAD507,119
4,AAD511,109
5,AAD513,109
6,ABE201,278
7,ABE223,350
8,ABE301,29
9,ABE303,31
10,ABE305,30
11,ABE401,39
12,ABE403,38
13,ABE405,37
14,ABE407,37
15,ABE411,3
16,ABE413,153
17,ABE415,2
18,ABE417,40
19,ABE443,159
20,ABE501,23
21,ABE503,23
22,ABE505,23
23,ABE507,23
24,ABE511,3
25,ABE513,11
26,ABE515,4
27,ABE517,10
28,ABE519,6
29,ABE521,3
30,ABE523,3
31,ABE525,1
32,ABE527,3
33,ABE535,5
34,ABE597,23
35,ABG301,2
36,ABG311,306
37,ABG321,843
38,ABG501,410
39,ABG503,66
40,ABG505,71
41,ABG507,67
42,ABG509,66
43,ACC101,191
44,ACC201,1
45,ACC401,1
46,ACC407,1
47,AEM201,1546
48,AEM213,256
49,AEM301,863
50,AEM303,179
51,AEM311,168
52,AEM501,105
53,AEM503,115
54,AEM507,105
55,AEM509,107
56,AEM511,85
57,AEM513,105
58,AEM517,131
59,AER303,179
60,AER503,316
61,AFP401,72
62,AFP403,72
63,AFP405,72
64,AFP407,72
65,AFP409,72
66,AFP411,72
67,AFP413,72
68,AFP415,72
69,AGE223,2
70,AGE321,192
71,AGR201,1751
72,AGR203,1485
73,AGS597,1013
74,ANN303,20
75,ANN313,317
76,ANN501,356
77,ANN503,309
78,ANN505,90
79,ANN507,90
80,ANN509,412
81,ANN511,71
82,ANN513,193
83,ANN515,7
84,ANN517,20
85,ANP101,1445
86,ANP201,85
87,ANP211,1390
88,ANP501,77
89,ANP503,72
90,ANP505,72
91,ANP507,74
92,ANP509,75
93,ANP511,78
94,ANS303,326
95,APH311,881
96,APH501,132
97,APH503,334
98,APH505,104
99,APH509,186
100,ARD201,44
101,ARD211,132
102,ARD301,831
103,ARD401,38
104,ARD501,220
105,ARD503,102
106,ARD505,174
107,ARD507,102
108,ARD509,102
109,ARD511,102
110,ARD513,100
111,ARD515,102
112,BAM101,128
113,BAM215,1
114,BAM301,1
115,BAM401,4
116,BAM403,12
117,BAM405,4
118,BAM409,5
119,BAM411,4
120,BAM417,4
121,BAM497,4
122,BCH201,437
123,BCH301,64
124,BCH303,66
125,BCH305,69
126,BCH307,65
127,BCH309,62
128,BCH311,65
129,BCH323,68
130,BCH401,101
131,BCH405,101
132,BCH409,101
133,BCH411,101
134,BCH413,101
135,BCH415,101
136,BCH421,101
137,BCH423,101
138,BCH425,101
139,BCH427,101
140,BCH429,101
141,BCH433,101
142,BFN101,128
143,BFN305,1
144,BFN401,1
145,BFN403,1
146,BFN405,1
147,BFN411,1
148,BIO101,1745
149,BIO103,1232
150,BIO191,1519
