s/n,room,capacity
1,MP 01,800
2,MP 02,400
3,MP 03/04,250
4,MPL,200
5,R 205,50
6,R 206,50
7,CPL,200
8,A 101,300
9,CAD,400
10,JAO 1,400
11,JAO 2,400
12,JAO 3,1000
13,ANE 1,300
14,ANE 2,300
15,ENG-AUD,400
16,GLR I,100
17,GLR II,100
18,GLR III,100
19,ABE LR,80
20,MCE LR,80
21,A 105,100
22,A110,110
23,A201,50
24,A215,50
25,VET 200,180
26,VET 300,160
27,VET 400,160
28,VET 500,120
29,VET 600,120
30,VET LAB,50
31,VET-AUD,240
32,RC 101,100
33,RC 102,100
34,RC 201,100
35,RC 202,100
36,RC 203,180
37,COLFHEC 1,120
38,COLFHEC 2,120
39,COLFHEC 3,120
40,COLENDS LR 1,100
41,COLENDS LR 2,100
42,BAM 4OO,100
43,EPS 400,100
44,BFN 400,100
45,ECO 400,100
46,ACCT 400,100
47,500 SEATER,500
48,CENTS AUD,240
49,1000 CAPLT,1000
50,PHS LAB,300
51,CHM LAB,300
52,BIO LAB,300
53,AGRIC LAB 1,200
54,AGRIC LAB 2,200
55,PISAD AUD,260
56,ELBOG I,260
57,ELBOG II,260
58,ACAD C1-C3,120
59,ACAD C4-C6,120
60,ACAD A3,80
61,ACAD A5,80
62,ACAD B3,80
63,ACAD B5,80
64,MAHMOOD,1300
